SampleID	Date	SampleType	Location	Rep	Plot	GrowthCondtion	Genotype	SorghumType	Plate	GrowthCondtion_Genotype	Genotype_GrowthCondtion	Variety	Variety_GrowthCondtion	GrowthCondtion_Variety	Race	Population	Class	Race_info
CC0316LE8R0718177029	71817	Root	CentralCity	Rep3	Plot16	LowN	E8	M81e	Plate86	LowN_E8	E8_LowN	Energy	Energy_LowN	LowN_Energy	Caudatum/durra	F7	Sensitive	Intermediate
CC0419FE8R0718177080	71817	Root	CentralCity	Rep4	Plot19	HighN	E8	M81e	Plate87	HighN_E8	E8_HighN	Energy	Energy_HighN	HighN_Energy	Caudatum/durra	F7	Sensitive	Intermediate
CC0419LE8R0718177056	71817	Root	CentralCity	Rep4	Plot19	LowN	E8	M81e	Plate88	LowN_E8	E8_LowN	Energy	Energy_LowN	LowN_Energy	Caudatum/durra	F7	Sensitive	Intermediate
CC0521FE8R0718177103	71817	Root	CentralCity	Rep5	Plot21	HighN	E8	M81e	Plate87	HighN_E8	E8_HighN	Energy	Energy_HighN	HighN_Energy	Caudatum/durra	F7	Sensitive	Intermediate
CC0521LE8R0718177124	71817	Root	CentralCity	Rep5	Plot21	LowN	E8	M81e	Plate79	LowN_E8	E8_LowN	Energy	Energy_LowN	LowN_Energy	Caudatum/durra	F7	Sensitive	Intermediate
CC0616FE8R0718177140	71817	Root	CentralCity	Rep6	Plot16	HighN	E8	M81e	Plate88	HighN_E8	E8_HighN	Energy	Energy_HighN	HighN_Energy	Caudatum/durra	F7	Sensitive	Intermediate
CC0616LE8R0718177161	71817	Root	CentralCity	Rep6	Plot16	LowN	E8	M81e	Plate84	LowN_E8	E8_LowN	Energy	Energy_LowN	LowN_Energy	Caudatum/durra	F7	Sensitive	Intermediate
CC0723FE8R0718177216	71817	Root	CentralCity	Rep7	Plot23	HighN	E8	M81e	Plate87	HighN_E8	E8_HighN	Energy	Energy_HighN	HighN_Energy	Caudatum/durra	F7	Sensitive	Intermediate
CC0723LE8R0718177192	71817	Root	CentralCity	Rep7	Plot23	LowN	E8	M81e	Plate81	LowN_E8	E8_LowN	Energy	Energy_LowN	LowN_Energy	Caudatum/durra	F7	Sensitive	Intermediate
CC0811FE8R0718177226	71817	Root	CentralCity	Rep8	Plot11	HighN	E8	M81e	Plate88	HighN_E8	E8_HighN	Energy	Energy_HighN	HighN_Energy	Caudatum/durra	F7	Sensitive	Intermediate
CC0811LE8R0718177247	71817	Root	CentralCity	Rep8	Plot11	LowN	E8	M81e	Plate81	LowN_E8	E8_LowN	Energy	Energy_LowN	LowN_Energy	Caudatum/durra	F7	Sensitive	Intermediate
CC0122FE9R0718176951	71817	Root	CentralCity	Rep1	Plot22	HighN	E9	PI229841	Plate83	HighN_E9	E9_HighN	Energy	Energy_HighN	HighN_Energy	Kafir	F6	Tolerant	Kafir
CC0122LE9R0718176930	71817	Root	CentralCity	Rep1	Plot22	LowN	E9	PI229841	Plate81	LowN_E9	E9_LowN	Energy	Energy_LowN	LowN_Energy	Kafir	F6	Tolerant	Kafir
CC0208FE9R0718176980	71817	Root	CentralCity	Rep2	Plot8	HighN	E9	PI229841	Plate88	HighN_E9	E9_HighN	Energy	Energy_HighN	HighN_Energy	Kafir	F6	Tolerant	Kafir
CC0308FE9R0718177001	71817	Root	CentralCity	Rep3	Plot8	HighN	E9	PI229841	Plate88	HighN_E9	E9_HighN	Energy	Energy_HighN	HighN_Energy	Kafir	F6	Tolerant	Kafir
CC0308LE9R0718177022	71817	Root	CentralCity	Rep3	Plot8	LowN	E9	PI229841	Plate84	LowN_E9	E9_LowN	Energy	Energy_LowN	LowN_Energy	Kafir	F6	Tolerant	Kafir
CC0417FE9R0718177078	71817	Root	CentralCity	Rep4	Plot17	HighN	E9	PI229841	Plate82	HighN_E9	E9_HighN	Energy	Energy_HighN	HighN_Energy	Kafir	F6	Tolerant	Kafir
CC0510LE9R0718177114	71817	Root	CentralCity	Rep5	Plot10	LowN	E9	PI229841	Plate82	LowN_E9	E9_LowN	Energy	Energy_LowN	LowN_Energy	Kafir	F6	Tolerant	Kafir
CC0611FE9R0718177136	71817	Root	CentralCity	Rep6	Plot11	HighN	E9	PI229841	Plate81	HighN_E9	E9_HighN	Energy	Energy_HighN	HighN_Energy	Kafir	F6	Tolerant	Kafir
CC0611LE9R0718177157	71817	Root	CentralCity	Rep6	Plot11	LowN	E9	PI229841	Plate85	LowN_E9	E9_LowN	Energy	Energy_LowN	LowN_Energy	Kafir	F6	Tolerant	Kafir
CC0720FE9R0718177213	71817	Root	CentralCity	Rep7	Plot20	HighN	E9	PI229841	Plate85	HighN_E9	E9_HighN	Energy	Energy_HighN	HighN_Energy	Kafir	F6	Tolerant	Kafir
CC0720LE9R0718177189	71817	Root	CentralCity	Rep7	Plot20	LowN	E9	PI229841	Plate88	LowN_E9	E9_LowN	Energy	Energy_LowN	LowN_Energy	Kafir	F6	Tolerant	Kafir
CC0807FE9R0718177222	71817	Root	CentralCity	Rep8	Plot7	HighN	E9	PI229841	Plate82	HighN_E9	E9_HighN	Energy	Energy_HighN	HighN_Energy	Kafir	F6	Tolerant	Kafir
CC0807LE9R0718177243	71817	Root	CentralCity	Rep8	Plot7	LowN	E9	PI229841	Plate81	LowN_E9	E9_LowN	Energy	Energy_LowN	LowN_Energy	Kafir	F6	Tolerant	Kafir
CC0101FG1R0718175892	71817	Root	CentralCity	Rep1	Plot1	HighN	G1	BTx623	Plate84	HighN_G1	G1_HighN	Grain	Grain_HighN	HighN_Grain	Kafir	Not_applicable	Sensitive	Kafir
CC0101LG1R0718175889	71817	Root	CentralCity	Rep1	Plot1	LowN	G1	BTx623	Plate87	LowN_G1	G1_LowN	Grain	Grain_LowN	LowN_Grain	Kafir	Not_applicable	Sensitive	Kafir
CC0201LG1R0718175895	71817	Root	CentralCity	Rep2	Plot1	LowN	G1	BTx623	Plate85	LowN_G1	G1_LowN	Grain	Grain_LowN	LowN_Grain	Kafir	Not_applicable	Sensitive	Kafir
CC0301FG1R0718175901	71817	Root	CentralCity	Rep3	Plot1	HighN	G1	BTx623	Plate82	HighN_G1	G1_HighN	Grain	Grain_HighN	HighN_Grain	Kafir	Not_applicable	Sensitive	Kafir
CC0301LG1R0718175904	71817	Root	CentralCity	Rep3	Plot1	LowN	G1	BTx623	Plate86	LowN_G1	G1_LowN	Grain	Grain_LowN	LowN_Grain	Kafir	Not_applicable	Sensitive	Kafir
CC0402FG1R0718177063	71817	Root	CentralCity	Rep4	Plot2	HighN	G1	BTx623	Plate87	HighN_G1	G1_HighN	Grain	Grain_HighN	HighN_Grain	Kafir	Not_applicable	Sensitive	Kafir
